"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.514038686420808,1,0.996,0,"0","RPS28"
0,0.281045179117424,1,0.996,0,"0","RPS19"
0,0.387151124164942,1,0.996,0,"0","RPL13A"
0,0.30776255028212,1,0.996,0,"0","RPL28"
0,0.586937803637981,1,0.997,0,"0","RPS27A"
0,0.646908144604374,0.999,0.996,0,"0","RPL35A"
0,0.686690959015954,1,0.997,0,"0","RPS3A"
0,0.615795702301849,1,0.997,0,"0","RPS12"
0,0.359630699207973,1,0.997,0,"0","RPS2"
0,0.493258202774693,1,0.997,0,"0","RPL13"
0,0.407426030608228,1,0.997,0,"0","RPL10"
0,0.604877034902339,1,0.998,0,"0","RPS27"
0,0.435104429706569,1,0.998,0,"0","EEF1A1"
0,0.312871576056275,1,0.998,0,"0","RPL41"
0,0.692248322207822,1,0.998,0,"0","TPT1"
1.07706310793392e-321,0.33404765521588,0.831,0.752,2.64095874065397e-317,"0","TOMM20"
3.24196575629334e-309,0.481611640755026,0.53,0.416,7.94930003443128e-305,"0","TECR"
4.26708375433879e-308,0.792631504942799,0.26,0.161,1.04628893656387e-303,"0","SSBP2"
7.42212311593869e-307,0.617272122023012,0.367,0.256,1.81990458802817e-302,"0","FOXO1"
1.03339195278474e-300,0.382564313409041,0.737,0.65,2.53387706822818e-296,"0","CHURC1"
2.09088191113261e-299,0.380743020109416,0.73,0.634,5.12684244609715e-295,"0","GCC2"
1.63810902122956e-296,0.664703442617904,0.346,0.239,4.01664332005489e-292,"0","HELB"
6.65417282286493e-288,0.356823089074981,0.708,0.61,1.63160317616648e-283,"0","CYTIP"
3.37263817356938e-285,0.318748401314545,0.789,0.705,8.26970880159212e-281,"0","ADD3"
3.52299471074249e-284,0.292168414007313,0.843,0.775,8.63838303074057e-280,"0","SNRPD2"
7.11209697746184e-283,0.643588451918387,0.327,0.22,1.74388617887364e-278,"0","AC243960.1"
