"Sample_ID","Condition","seurat_clusters","count","total","proportion"
"GSM6617001","Control","14",40,4419,0.905182167911292
"GSM6617001","Control","15",9,4419,0.203665987780041
"GSM6617001","Control","16",7,4419,0.158406879384476
"GSM6617002","OSA","0",659,3809,17.3011289052245
"GSM6617002","OSA","1",481,3809,12.6279863481229
"GSM6617002","OSA","2",200,3809,5.25072197427146
"GSM6617002","OSA","3",478,3809,12.5492255185088
"GSM6617002","OSA","4",408,3809,10.7114728275138
"GSM6617002","OSA","5",415,3809,10.8952480966133
"GSM6617002","OSA","6",428,3809,11.2365450249409
"GSM6617002","OSA","7",325,3809,8.53242320819113
"GSM6617002","OSA","8",123,3809,3.22919401417695
"GSM6617002","OSA","9",73,3809,1.91651352060908
"GSM6617002","OSA","10",93,3809,2.44158571803623
"GSM6617002","OSA","11",59,3809,1.54896298241008
"GSM6617002","OSA","12",13,3809,0.341296928327645
"GSM6617002","OSA","13",5,3809,0.131268049356787
"GSM6617002","OSA","14",39,3809,1.02389078498294
"GSM6617002","OSA","15",3,3809,0.0787608296140719
"GSM6617002","OSA","16",7,3809,0.183775269099501
"GSM6617003","OSA","0",1130,4556,24.8024582967515
"GSM6617003","OSA","1",511,4556,11.215978928885
"GSM6617003","OSA","2",538,4556,11.8086040386304
"GSM6617003","OSA","3",501,4556,10.9964881474978
"GSM6617003","OSA","4",268,4556,5.88235294117647
"GSM6617003","OSA","5",483,4556,10.6014047410009
"GSM6617003","OSA","6",206,4556,4.52151009657594
"GSM6617003","OSA","7",179,4556,3.92888498683055
"GSM6617003","OSA","8",320,4556,7.02370500438982
"GSM6617003","OSA","9",142,4556,3.11676909569798
"GSM6617003","OSA","10",176,4556,3.8630377524144
"GSM6617003","OSA","11",47,4556,1.03160667251975
"GSM6617003","OSA","12",22,4556,0.4828797190518
"GSM6617003","OSA","13",11,4556,0.2414398595259
"GSM6617003","OSA","14",4,4556,0.0877963125548727
"GSM6617003","OSA","15",13,4556,0.285338015803336
"GSM6617003","OSA","16",5,4556,0.109745390693591
"GSM6617004","OSA","0",1003,4214,23.8016136687233
"GSM6617004","OSA","1",462,4214,10.9634551495017
"GSM6617004","OSA","2",522,4214,12.3872804935928
"GSM6617004","OSA","3",476,4214,11.2956810631229
"GSM6617004","OSA","4",374,4214,8.87517797816801
"GSM6617004","OSA","5",303,4214,7.19031798766018
"GSM6617004","OSA","6",149,4214,3.53583293782629
"GSM6617004","OSA","7",197,4214,4.67489321309919
"GSM6617004","OSA","8",306,4214,7.26150925486474
"GSM6617004","OSA","9",135,4214,3.20360702420503
"GSM6617004","OSA","10",155,4214,3.67821547223541
"GSM6617004","OSA","11",55,4214,1.30517323208353
"GSM6617004","OSA","12",28,4214,0.664451827242525
"GSM6617004","OSA","13",14,4214,0.332225913621262
"GSM6617004","OSA","14",17,4214,0.403417180825819
"GSM6617004","OSA","15",7,4214,0.166112956810631
"GSM6617004","OSA","16",11,4214,0.261034646416706
"GSM6617005","OSA","0",1765,4705,37.5132837407014
"GSM6617005","OSA","1",764,4705,16.2380446333688
"GSM6617005","OSA","2",371,4705,7.88522848034006
"GSM6617005","OSA","3",480,4705,10.201912858661
"GSM6617005","OSA","4",256,4705,5.44102019128587
"GSM6617005","OSA","5",193,4705,4.10201912858661
"GSM6617005","OSA","6",111,4705,2.35919234856536
"GSM6617005","OSA","7",143,4705,3.03931987247609
"GSM6617005","OSA","8",146,4705,3.10308182784272
"GSM6617005","OSA","9",179,4705,3.80446333687566
"GSM6617005","OSA","10",175,4705,3.71944739638682
"GSM6617005","OSA","11",53,4705,1.12646121147715
"GSM6617005","OSA","12",16,4705,0.340063761955367
"GSM6617005","OSA","13",23,4705,0.488841657810839
"GSM6617005","OSA","14",16,4705,0.340063761955367
"GSM6617005","OSA","15",3,4705,0.0637619553666312
"GSM6617005","OSA","16",11,4705,0.233793836344315
"GSM6617006","OSA","0",1292,4450,29.0337078651685
"GSM6617006","OSA","1",409,4450,9.19101123595506
"GSM6617006","OSA","2",565,4450,12.6966292134831
"GSM6617006","OSA","3",378,4450,8.49438202247191
"GSM6617006","OSA","4",311,4450,6.98876404494382
"GSM6617006","OSA","5",334,4450,7.50561797752809
"GSM6617006","OSA","6",186,4450,4.17977528089888
"GSM6617006","OSA","7",149,4450,3.34831460674157
"GSM6617006","OSA","8",215,4450,4.8314606741573
"GSM6617006","OSA","9",311,4450,6.98876404494382
"GSM6617006","OSA","10",133,4450,2.98876404494382
"GSM6617006","OSA","11",67,4450,1.50561797752809
"GSM6617006","OSA","12",51,4450,1.14606741573034
"GSM6617006","OSA","13",24,4450,0.539325842696629
"GSM6617006","OSA","14",7,4450,0.157303370786517
"GSM6617006","OSA","15",13,4450,0.292134831460674
"GSM6617006","OSA","16",5,4450,0.112359550561798
"GSM6617007","OSA","0",1424,5473,26.0186369450027
"GSM6617007","OSA","1",755,5473,13.7949936049699
"GSM6617007","OSA","2",930,5473,16.9925086789695
"GSM6617007","OSA","3",336,5473,6.1392289420793
"GSM6617007","OSA","4",314,5473,5.73725561849077
"GSM6617007","OSA","5",440,5473,8.03946647177051
"GSM6617007","OSA","6",120,5473,2.19258176502832
"GSM6617007","OSA","7",248,5473,4.5313356477252
"GSM6617007","OSA","8",262,5473,4.78713685364517
"GSM6617007","OSA","9",279,5473,5.09775260369085
"GSM6617007","OSA","10",175,5473,3.19751507399963
"GSM6617007","OSA","11",69,5473,1.26073451489128
"GSM6617007","OSA","12",34,5473,0.621231500091358
"GSM6617007","OSA","13",42,5473,0.767403617759912
